ticker,company,trade_date,foreign_net,invest_net,dealer_net,total_net
2408,南亞科技,2026-03-10,17182955.0,0.0,-1052751.0,-6041175.0
2344,華邦電子,2026-03-10,-27349938.0,0.0,-146000.0,-2280156.0
