ticker,company,trade_date,foreign_net,invest_net,dealer_net,total_net
2408,南亞科技,2026-03-27,-3949489.0,0.0,-7434000.0,2356624.0
2344,華邦電子,2026-03-27,24119095.0,0.0,-6084149.0,2545242.0
