ticker,company,trade_date,foreign_net,invest_net,dealer_net,total_net
2408,南亞科技,2026-03-20,-33948954.0,0.0,-3521121.0,-3885245.0
2344,華邦電子,2026-03-20,-132952085.0,0.0,67025792.0,-6569504.0
