ticker,company,trade_date,foreign_net,invest_net,dealer_net,total_net
2408,南亞科技,2026-03-12,-21458555.0,0.0,-106000.0,-5713642.0
2344,華邦電子,2026-03-12,12767596.0,0.0,-1137000.0,-3338049.0
