ticker,company,trade_date,margin_balance,margin_change,short_balance,short_change,margin_ratio,alert
2344,華邦電子,2026-03-24,128498.0,-1930.0,255.0,1125000.0,503.91,⚠️ 資券比過高
2408,南亞科技,2026-03-24,107755.0,-2336.0,0.0,773898.0,0.0,
