ticker,company,trade_date,margin_balance,margin_change,short_balance,short_change,margin_ratio,alert
2344,華邦電子,2026-03-17,132205.0,-6429.0,26.0,1123181.0,5084.81,⚠️ 資券比過高
2408,南亞科技,2026-03-17,117357.0,4013.0,0.0,774656.0,0.0,
