ticker,company,trade_date,margin_balance,margin_change,short_balance,short_change,margin_ratio,alert
2344,華邦電子,2026-04-09,130454.0,-346.0,0.0,1124270.0,0.0,
2408,南亞科技,2026-04-09,110835.0,4683.0,40.0,774096.0,2770.88,⚠️ 資券比過高
