ticker,company,trade_date,margin_balance,margin_change,short_balance,short_change,margin_ratio,alert
2344,華邦電子,2026-04-02,122956.0,-3531.0,0.0,1124087.0,0.0,
2408,南亞科技,2026-04-02,112309.0,-534.0,0.0,773618.0,0.0,
