ticker,company,trade_date,foreign_net,invest_net,dealer_net,total_net
2408,南亞科技,2026-04-01,-3359473.0,-255000.0,642000.0,260000.0
2344,華邦電子,2026-04-01,-5031900.0,0.0,44000.0,1179000.0
